objective,retrieval_condition,window_size,mask_count,mask_position,landscape_size,beta,accuracy,lower_ci,upper_ci,effective_n,bigram_accuracy,mean_gap,mean_entropy,mean_energy,mean_top_score,cap_error_0_3,cap_error_0_5,cap_error_0_7,metastable_rate
masked_token,generalization,4,1,edge,64,10.0,0.057692307692307696,0.01981381269057321,0.15642755575159176,52,0.21153846153846154,0.09137802227185322,0.06275047361850739,-1.0038369871102846,0.9999344520843946,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,end,64,10.0,0.9807692307692307,0.8987925373197556,0.9965972795909344,52,0.19230769230769232,0.41711176014863527,0.018362480726164695,-1.0008640885353088,0.9999958987419422,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,end,64,10.0,0.06,0.02061459636463048,0.16217343370877002,50,0.14,0.2283825708180666,0.060049076918512585,-1.00361398935318,0.9999424147605896,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,center,64,10.0,0.8974358974358975,0.7642084129775517,0.9593873444171301,39,0.0,0.3699248030495185,0.018971001263707876,-1.0009559637460954,0.9999921642816983,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,center,64,10.0,0.0,0.0,0.10151790621961015,34,0.0,0.0431447736097171,0.0714457736843649,-1.004484425572788,0.9999213025850409,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,edge,64,10.0,0.9411764705882353,0.8090606311053629,0.9837176869361575,34,0.0,0.3883362483671483,0.015257175368092516,-1.0007474177023943,0.9999930806019727,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,edge,64,10.0,0.0,0.0,0.08762453925039232,40,0.0,0.05370792536996305,0.06806746339425444,-1.0042251586914062,0.999928104877472,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,end,64,10.0,0.9111111111111111,0.792661488316343,0.9648894518657969,45,0.0,0.3936598214424319,0.018266571095834176,-1.0008859448962741,0.999990889761183,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,end,64,10.0,0.0,0.0,0.09890426758938868,35,0.0,0.14396367804812535,0.06663333970521178,-1.0041641065052578,0.9999132990837097,0.0,0.0,0.0,0.0
next_token,memorization,4,,,64,30.0,0.9807692307692307,0.8987925373197556,0.9965972795909344,52,0.19230769230769232,0.4165856024393669,1.187601279262207e-07,-1.0,1.0,0.0,0.0,0.0,0.0
next_token,generalization,4,,,64,30.0,0.02,0.0035391680889764613,0.10495686471836953,50,0.12,0.2825426759198308,7.372065295628838e-06,-1.0000000858306886,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,center,64,30.0,1.0,0.9324156955469233,1.0,53,0.05660377358490566,0.41081680582379393,6.326532072706543e-07,-1.0000000067476957,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,center,64,30.0,0.022222222222222223,0.003933497522757507,0.11566946388718814,45,0.15555555555555556,0.22553161904215813,1.0050507034163757e-05,-1.0000001192092896,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,edge,64,30.0,1.0,0.9229238226702192,1.0,46,0.1956521739130435,0.4160109074057444,4.709764113732517e-08,-1.0,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,edge,64,30.0,0.019230769230769232,0.003402720409065522,0.10120746268024422,52,0.21153846153846154,0.18405108375904652,7.671373842998985e-06,-1.0000000894069672,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,end,64,30.0,0.9807692307692307,0.8987925373197556,0.9965972795909344,52,0.19230769230769232,0.4172982076326242,1.5271340162309038e-07,-1.0,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,end,64,30.0,0.06,0.02061459636463048,0.16217343370877002,50,0.14,0.29474837724119424,6.888014206026804e-06,-1.0000000786781311,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,center,64,30.0,0.8974358974358975,0.7642084129775517,0.9593873444171301,39,0.0,0.3700332427636171,1.6378024370301303e-06,-1.0000000183398907,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,center,64,30.0,0.0,0.0,0.10151790621961015,34,0.0,0.10949952686753343,1.4876646163245727e-05,-1.0000001788139343,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,edge,64,30.0,0.9411764705882353,0.8090606311053629,0.9837176869361575,34,0.0,0.388390047749614,1.7266958589057246e-06,-1.0000000210369335,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,edge,64,30.0,0.0,0.0,0.08762453925039232,40,0.0,0.17710026847198607,1.1961036784680078e-05,-1.0000001430511474,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,end,64,30.0,0.9111111111111111,0.792661488316343,0.9648894518657969,45,0.0,0.3939721322307984,1.3357884428824264e-06,-1.0000000158945719,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,end,64,30.0,0.0,0.0,0.09890426758938868,35,0.0,0.21965053541851895,1.0184679397010461e-05,-1.0000001226152693,1.0,0.0,0.0,0.0,0.0
next_token,memorization,4,,,64,100.0,0.9807692307692307,0.8987925373197556,0.9965972795909344,52,0.19230769230769232,0.41658560666613853,4.185629065567298e-10,-1.0,1.0,0.0,0.0,0.0,0.0
next_token,generalization,4,,,64,100.0,0.04,0.011038652660826579,0.13460337877954667,50,0.12,0.34199211865663526,4.185629065567298e-10,-1.0,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,center,64,100.0,1.0,0.9324156955469233,1.0,53,0.05660377358490566,0.41081684497448634,4.185629065567298e-10,-1.0,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,center,64,100.0,0.06666666666666667,0.022931616462147076,0.17856874388640825,45,0.15555555555555556,0.24383759680721495,4.185629065567298e-10,-1.0,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,edge,64,100.0,1.0,0.9229238226702192,1.0,46,0.1956521739130435,0.4160109084585439,4.185629065567298e-10,-1.0,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,edge,64,100.0,0.038461538461538464,0.010611488322077558,0.1298142874436598,52,0.21153846153846154,0.27387032471597195,4.185629065567298e-10,-1.0,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,end,64,100.0,0.9807692307692307,0.8987925373197556,0.9965972795909344,52,0.19230769230769232,0.41729820942362916,4.185629065567298e-10,-1.0,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,end,64,100.0,0.04,0.011038652660826579,0.13460337877954667,50,0.14,0.35499876268208025,4.185629065567298e-10,-1.0,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,center,64,100.0,0.8974358974358975,0.7642084129775517,0.9593873444171301,39,0.0,0.3700332414263334,4.185629065567298e-10,-1.0,1.0,0.0,0.0,0.0,0.0
