codebook,objective,retrieval_condition,window_size,mask_count,mask_position,landscape_size,beta,accuracy,lower_ci,upper_ci,bigram_accuracy,mean_gap,mean_entropy,mean_energy,metastable_rate
random,masked_token,generalization,8,1,center,64,30.0,0.05660377358490566,0.01943630892731418,0.15370448936126319,0.22641509433962265,0.2461777298517947,4.140049002782401e-08,-1.0,0.0
random,masked_token,generalization,8,1,center,256,10.0,0.03773584905660377,0.010410068833819272,0.12754523150959113,0.22641509433962265,0.14290057853707727,0.08881360053453806,-1.0058550564747937,0.0
random,masked_token,generalization,8,1,center,256,30.0,0.018867924528301886,0.0033383673867494,0.09943143501149411,0.22641509433962265,0.18871611068552396,4.1407883829956403e-07,-1.0,0.0
random,masked_token,generalization,8,1,end,64,10.0,0.045454545454545456,0.012554846366981074,0.15135271525303162,0.2727272727272727,0.1712986030192538,0.026852448492056945,-1.0012508955868809,0.0
random,masked_token,generalization,8,1,end,64,30.0,0.045454545454545456,0.012554846366981074,0.15135271525303162,0.2727272727272727,0.16267353457144715,4.229483011294635e-08,-1.0,0.0
random,masked_token,generalization,8,1,end,256,10.0,0.0,6.381712396155606e-18,0.08029831778201396,0.2727272727272727,0.08847413148561661,0.08965706782923503,-1.005920645865527,0.0
random,masked_token,generalization,8,1,end,256,30.0,0.0,6.381712396155606e-18,0.08029831778201396,0.2727272727272727,0.19454044476151466,3.3096035163448045e-07,-1.0,0.0
random,masked_token,memorization,4,1,center,64,10.0,1.0,0.9324156955469233,1.0,0.05660377358490566,0.41024648777718814,0.018598078003258637,-1.0008834398017739,0.0
random,masked_token,memorization,4,1,center,64,30.0,1.0,0.9324156955469233,1.0,0.05660377358490566,0.41081680582379393,6.326532072706543e-07,-1.0000000067476957,0.0
random,masked_token,memorization,4,1,center,256,10.0,0.8085106382978723,0.674557199356223,0.8958418439468988,0.23404255319148937,0.3429374143164209,0.10804701505347769,-1.0314927101135254,0.0
random,masked_token,memorization,4,1,center,256,30.0,0.9574468085106383,0.8575121280614056,0.9882519706294304,0.23404255319148937,0.405434805503551,2.298057150788698e-05,-1.000000370309708,0.0
random,masked_token,memorization,4,1,end,64,10.0,0.9807692307692307,0.8987925373197556,0.9965972795909344,0.19230769230769232,0.41711176014863527,0.018362480726164695,-1.0008640885353088,0.0
random,masked_token,memorization,4,1,end,64,30.0,0.9807692307692307,0.8987925373197556,0.9965972795909344,0.19230769230769232,0.4172982076326242,1.5271340162309038e-07,-1.0,0.0
random,masked_token,memorization,4,1,end,256,10.0,0.9285714285714286,0.8099028671147485,0.9754100364488272,0.16666666666666666,0.3925499137313593,0.0721016593188757,-1.0083652763139634,0.0
random,masked_token,memorization,4,1,end,256,30.0,0.9523809523809523,0.8420986468452026,0.9868427513607937,0.16666666666666666,0.40394358789282186,1.1043647896999542e-05,-1.0000001646223522,0.0
random,masked_token,memorization,8,1,center,64,10.0,1.0,0.9244398288016114,1.0,0.3404255319148936,0.28146940572781765,0.019670812492357925,-1.000876987234075,0.0
random,masked_token,memorization,8,1,center,64,30.0,1.0,0.9244398288016114,1.0,0.3404255319148936,0.2815613938455886,2.0464161631219228e-08,-1.0,0.0
random,masked_token,memorization,8,1,center,256,10.0,1.0,0.9272997032640948,0.9999999999999998,0.32653061224489793,0.2793947817111502,0.042190570650356155,-1.002404208085975,0.0
random,masked_token,memorization,8,1,center,256,30.0,1.0,0.9272997032640948,0.9999999999999998,0.32653061224489793,0.2796499527686713,6.867945285498373e-08,-1.0,0.0
random,masked_token,memorization,8,1,end,64,10.0,1.0,0.9179874299767727,1.0,0.13953488372093023,0.2794362949424012,0.017980799901970598,-1.0007870945819588,0.0
random,masked_token,memorization,8,1,end,64,30.0,1.0,0.9179874299767727,1.0,0.13953488372093023,0.2796329838158779,1.0435709037225427e-08,-1.0,0.0
random,masked_token,memorization,8,1,end,256,10.0,1.0,0.916198387490838,1.0,0.09523809523809523,0.27687513189656393,0.0414682538470342,-1.0023462346621923,0.0
random,masked_token,memorization,8,1,end,256,30.0,1.0,0.916198387490838,1.0,0.09523809523809523,0.27732770801300094,2.829082509000121e-08,-1.0,0.0
random,next_token,generalization,4,,,64,10.0,0.04,0.011038652660826579,0.13460337877954667,0.12,0.2629096477478743,0.04975353313609958,-1.0029031753540039,0.0
random,next_token,generalization,4,,,64,30.0,0.02,0.0035391680889764613,0.10495686471836953,0.12,0.2825426759198308,7.372065295628838e-06,-1.0000000858306886,0.0
random,next_token,generalization,4,,,256,10.0,0.02,0.0035391680889764613,0.10495686471836953,0.12,0.11338222488760948,0.27446161054074764,-1.1061918568611144,0.0
random,next_token,generalization,4,,,256,30.0,0.08,0.031549003255790686,0.18838502545063707,0.12,0.2487960384786129,0.019236625038750284,-1.0035342836380006,0.0
random,next_token,generalization,8,,,64,10.0,0.045454545454545456,0.012554846366981074,0.15135271525303162,0.2727272727272727,0.1574895532632416,0.026872880460525102,-1.00125406276096,0.0
random,next_token,generalization,8,,,64,30.0,0.045454545454545456,0.012554846366981074,0.15135271525303162,0.2727272727272727,0.16370104210959238,4.254141598840229e-08,-1.0,0.0
