label,seed,recall_correct,raw_synergy,settled_synergy_at_mask
random,1,0,0.311945,-0.010923
random,1,0,0.306186,0.014504
random,1,0,0.314723,0.008650
random,1,0,0.304607,0.012272
random,1,0,0.314617,0.009336
random,1,0,0.316574,-0.032580
random,1,0,0.297502,-0.010708
random,1,0,0.300125,0.004334
random,1,0,0.322164,-0.003086
random,1,0,0.310075,0.010574
random,1,0,0.307508,-0.002138
random,1,1,0.304537,0.059376
random,1,0,0.319578,-0.011185
random,1,0,0.314477,0.008089
random,1,0,0.314121,-0.016712
random,1,0,0.305050,-0.017458
random,1,0,0.304156,-0.016558
random,1,0,0.317763,-0.009592
random,1,0,0.300655,-0.002534
random,1,0,0.308377,0.000598
random,1,0,0.309991,-0.016558
random,1,0,0.307736,-0.018508
random,1,0,0.313884,-0.013713
random,1,0,0.310129,-0.003082
random,1,0,0.312049,0.002040
random,1,0,0.305231,-0.019271
random,1,0,0.316755,0.016525
random,1,0,0.311349,0.046970
random,1,0,0.317154,0.046980
random,1,0,0.310516,0.012270
random,1,0,0.301179,0.000597
random,1,0,0.308804,-0.004889
random,1,0,0.303124,0.012565
random,1,0,0.305619,-0.015806
random,1,0,0.309473,-0.003085
random,1,0,0.315357,0.015099
random,1,1,0.306087,0.059387
random,1,0,0.311309,-0.018396
random,1,0,0.311236,-0.004342
random,1,0,0.307288,-0.005521
random,1,0,0.306974,-0.005522
random,1,0,0.305745,-0.005519
random,1,0,0.308397,-0.011390
random,1,1,0.303712,0.059374
random,1,0,0.318851,-0.004852
random,1,0,0.309052,-0.011318
random,1,0,0.312963,-0.023861
random,1,0,0.307628,-0.015161
random,1,0,0.303846,0.014534
random,1,0,0.302684,0.005777
random,1,1,0.323609,0.059353
random,1,0,0.306443,-0.026109
random,1,0,0.306782,0.020461
random,1,0,0.312390,-0.005699
random,1,1,0.311340,0.059374
random,1,0,0.322895,0.012276
random,1,0,0.331777,-0.003084
random,1,0,0.304468,-0.018036
random,1,1,0.295958,0.059358
random,1,0,0.310615,-0.025473
random,1,0,0.308692,0.002829
random,1,0,0.307371,0.009351
random,1,0,0.302995,-0.032453
random,1,0,0.323919,0.006174
random,1,0,0.308170,-0.004891
random,1,0,0.313390,-0.001430
random,1,0,0.310298,0.001183
random,1,0,0.311043,-0.024446
random,1,0,0.297824,-0.008441
random,1,0,0.310524,0.014540
random,1,0,0.313289,0.014513
random,1,0,0.303706,0.014535
random,1,1,0.306706,0.059346
random,1,0,0.310803,-0.003086
random,1,0,0.313708,-0.018855
random,1,0,0.298149,-0.017768
random,1,0,0.311374,0.002998
random,1,0,0.322149,-0.014500
random,1,0,0.311686,0.011018
random,1,0,0.311466,0.008271
random,1,0,0.306284,0.005777
random,1,0,0.318790,0.001846
random,1,0,0.310120,-0.026105
random,1,1,0.336691,0.059364
random,1,0,0.333102,-0.019781
random,1,0,0.287265,-0.026111
random,1,0,0.315080,-0.020973
random,1,0,0.312321,-0.014233
random,1,0,0.302005,-0.019540
random,1,0,0.312589,-0.012444
random,1,0,0.309700,0.003581
random,1,0,0.309763,0.012276
random,1,0,0.316379,-0.003086
random,1,0,0.308624,-0.019818
random,1,0,0.307877,0.012272
random,1,0,0.299409,0.000598
random,1,0,0.310075,0.000172
random,1,1,0.312577,0.059352
random,1,0,0.309664,-0.004693
random,1,0,0.311128,0.001537
random,1,0,0.301460,-0.005850
random,1,0,0.309887,-0.030904
random,1,0,0.314066,0.012274
random,1,0,0.312421,0.000596
random,1,0,0.306388,0.023711
random,1,0,0.315229,0.012273
random,1,0,0.310862,-0.008779
random,1,0,0.307159,0.046978
random,1,0,0.315475,-0.026908
random,1,0,0.315688,-0.018846
random,1,0,0.316152,-0.005978
random,1,0,0.310873,-0.010715
random,1,0,0.315295,-0.003083
random,1,0,0.312500,-0.017766
random,1,0,0.307395,-0.011233
random,1,0,0.308450,-0.011687
random,1,0,0.319103,0.017225
random,1,0,0.313888,0.001537
random,1,0,0.307002,-0.002728
random,1,0,0.311233,-0.028076
random,1,0,0.317749,0.005146
random,1,0,0.316501,0.002780
random,1,0,0.321669,0.014531
random,1,0,0.306111,-0.003086
random,1,0,0.306278,-0.004857
random,1,0,0.295923,-0.004862
random,1,0,0.307081,-0.050343
random,1,0,0.304765,-0.001875
random,1,0,0.306385,0.010378
random,1,0,0.304393,0.014535
random,1,0,0.303392,-0.015336
random,1,0,0.313817,0.012275
random,1,0,0.316148,-0.048071
random,1,0,0.304894,0.009553
random,1,0,0.307899,0.026954
random,1,0,0.308607,-0.016641
random,1,0,0.307444,-0.013329
random,1,0,0.304778,-0.010990
random,1,0,0.310933,-0.012343
random,1,0,0.311844,0.023710
random,1,0,0.309431,-0.008662
random,1,0,0.312386,0.012272
random,1,0,0.298540,0.014534
