label,seed,target_token,target_bucket,target_rank,settled_synergy_at_mask
random,17,122,q1_most_frequent,766,-0.000968
random,17,13,q1_most_frequent,1981,-0.016790
random,17,793,q1_most_frequent,798,0.004922
random,17,18,q1_most_frequent,97,0.025930
random,17,305,q1_most_frequent,851,0.004372
random,17,4,q1_most_frequent,14,0.029650
random,17,99,q1_most_frequent,768,-0.015403
random,17,3,q1_most_frequent,75,0.016681
random,17,2,q1_most_frequent,0,0.046759
random,17,3,q1_most_frequent,75,0.016697
random,17,89,q1_most_frequent,1529,-0.022081
random,17,1137,q1_most_frequent,1185,-0.005917
random,17,979,q1_most_frequent,924,-0.000939
random,17,13,q1_most_frequent,1981,-0.016785
random,17,307,q1_most_frequent,183,0.015493
random,17,14,q1_most_frequent,160,0.014059
random,17,3,q1_most_frequent,77,0.016716
random,17,2,q1_most_frequent,0,0.046735
random,17,24,q1_most_frequent,529,-0.005357
random,17,101,q1_most_frequent,1104,-0.025470
random,17,2,q1_most_frequent,0,0.046914
random,17,2,q1_most_frequent,0,0.046583
random,17,29,q1_most_frequent,1258,-0.012755
random,17,7,q1_most_frequent,454,-0.005305
random,17,2,q1_most_frequent,0,0.046801
random,17,95,q1_most_frequent,354,-0.001797
random,17,545,q1_most_frequent,1540,-0.025104
random,17,432,q1_most_frequent,98,0.006017
random,17,339,q1_most_frequent,1124,-0.011920
random,17,339,q1_most_frequent,1128,-0.011995
random,17,2,q1_most_frequent,0,0.046733
random,17,2,q1_most_frequent,0,0.047190
random,17,195,q1_most_frequent,1310,0.001768
random,17,5,q1_most_frequent,982,-0.001263
random,17,8,q1_most_frequent,1243,-0.000882
random,17,4,q1_most_frequent,14,0.029424
random,17,5,q1_most_frequent,1006,-0.001497
random,17,40,q1_most_frequent,483,0.002227
random,17,4,q1_most_frequent,15,0.029382
random,17,7,q1_most_frequent,453,-0.005289
random,17,12,q1_most_frequent,1721,-0.017593
random,17,19,q1_most_frequent,903,-0.017842
random,17,49,q1_most_frequent,1203,-0.018434
random,17,683,q1_most_frequent,1815,-0.031275
random,17,286,q1_most_frequent,1920,-0.026184
random,17,11,q1_most_frequent,1807,-0.032686
random,17,1806,q1_most_frequent,108,0.011891
random,17,90,q1_most_frequent,1694,-0.004745
random,17,2,q1_most_frequent,0,0.046681
random,17,865,q1_most_frequent,1022,-0.021216
random,17,300,q1_most_frequent,946,-0.004848
random,17,3,q1_most_frequent,79,0.016701
random,17,1110,q1_most_frequent,605,-0.007682
random,17,2,q1_most_frequent,0,0.046804
random,17,965,q1_most_frequent,2037,-0.025745
random,17,393,q1_most_frequent,457,0.011984
random,17,22,q1_most_frequent,408,0.003491
random,17,103,q1_most_frequent,906,-0.009123
random,17,7,q1_most_frequent,457,-0.005333
random,17,2,q1_most_frequent,0,0.046564
random,17,695,q1_most_frequent,1292,-0.019903
random,17,2,q1_most_frequent,0,0.046699
random,17,14,q1_most_frequent,162,0.013658
random,17,345,q1_most_frequent,1460,-0.003083
random,17,1154,q1_most_frequent,762,0.000104
random,17,2,q1_most_frequent,0,0.046639
random,17,852,q1_most_frequent,1761,-0.018761
random,17,2,q1_most_frequent,0,0.046759
random,17,2,q1_most_frequent,0,0.046961
random,17,11,q1_most_frequent,1802,-0.032513
random,17,710,q1_most_frequent,373,0.009023
random,17,1676,q1_most_frequent,296,0.014407
random,17,2,q1_most_frequent,0,0.046647
random,17,556,q1_most_frequent,861,-0.016434
random,17,7,q1_most_frequent,460,-0.005364
random,17,1799,q1_most_frequent,250,0.001362
random,17,2,q1_most_frequent,0,0.047137
random,17,51,q1_most_frequent,1840,-0.023457
random,17,227,q1_most_frequent,1725,-0.022443
random,17,981,q1_most_frequent,1991,-0.016093
random,17,799,q1_most_frequent,756,0.010635
random,17,3,q1_most_frequent,77,0.016731
random,17,201,q1_most_frequent,278,0.025059
random,17,609,q1_most_frequent,1622,-0.001441
random,17,2,q1_most_frequent,0,0.046578
random,17,35,q1_most_frequent,96,0.010212
random,17,2,q1_most_frequent,0,0.046739
random,17,804,q1_most_frequent,1276,-0.002315
random,17,8,q1_most_frequent,1247,-0.001030
random,17,5,q1_most_frequent,978,-0.001213
random,17,7,q1_most_frequent,458,-0.005381
random,17,88,q1_most_frequent,2031,-0.042711
random,17,1557,q1_most_frequent,1473,-0.023628
random,17,2,q1_most_frequent,0,0.046623
random,17,6,q1_most_frequent,441,-0.001740
random,17,1867,q1_most_frequent,1531,-0.008828
random,17,735,q1_most_frequent,1754,-0.022840
random,17,46,q1_most_frequent,1938,-0.011266
random,17,2,q1_most_frequent,0,0.046592
random,17,194,q1_most_frequent,114,0.004949
random,17,10,q1_most_frequent,1048,-0.013322
random,17,141,q1_most_frequent,1315,0.007340
random,17,417,q1_most_frequent,1677,-0.003807
random,17,7,q1_most_frequent,460,-0.005371
random,17,1223,q1_most_frequent,280,-0.011551
random,17,38,q1_most_frequent,1877,-0.033831
random,17,3,q1_most_frequent,77,0.016719
random,17,11,q1_most_frequent,1804,-0.032597
random,17,732,q1_most_frequent,439,0.005976
random,17,7,q1_most_frequent,460,-0.005362
random,17,96,q1_most_frequent,28,0.010637
random,17,1428,q1_most_frequent,1204,0.005470
random,17,36,q1_most_frequent,1439,-0.009675
random,17,90,q1_most_frequent,1694,-0.004728
random,17,229,q1_most_frequent,1132,-0.008317
random,17,45,q1_most_frequent,965,-0.005427
random,1,5,q1_most_frequent,313,0.014534
random,1,958,q1_most_frequent,1013,-0.011199
random,1,7,q1_most_frequent,492,0.000598
random,1,663,q1_most_frequent,207,-0.020366
random,1,21,q1_most_frequent,1504,-0.023992
random,1,404,q1_most_frequent,1581,-0.015425
random,1,15,q1_most_frequent,327,0.001538
random,1,5,q1_most_frequent,313,0.014532
random,1,2,q1_most_frequent,0,0.059394
random,1,8,q1_most_frequent,1,0.046971
random,1,1504,q1_most_frequent,397,0.012060
random,1,2,q1_most_frequent,0,0.059376
random,1,195,q1_most_frequent,1417,-0.001882
random,1,6,q1_most_frequent,60,0.014511
random,1,82,q1_most_frequent,359,0.006978
random,1,13,q1_most_frequent,999,-0.011172
random,1,140,q1_most_frequent,11,0.027675
random,1,698,q1_most_frequent,1580,-0.001260
random,1,992,q1_most_frequent,2001,-0.032278
random,1,930,q1_most_frequent,1722,-0.004789
random,1,4,q1_most_frequent,802,-0.003083
random,1,2,q1_most_frequent,0,0.059379
random,1,7,q1_most_frequent,492,0.000600
random,1,2,q1_most_frequent,0,0.059375
random,1,1378,q1_most_frequent,1727,-0.004057
random,1,248,q1_most_frequent,138,0.005272
random,1,36,q1_most_frequent,1882,-0.018852
random,1,107,q1_most_frequent,1669,-0.018330
random,1,5,q1_most_frequent,313,0.014538
random,1,152,q1_most_frequent,211,0.010669
random,1,101,q1_most_frequent,1853,-0.011305
random,1,245,q1_most_frequent,972,-0.024373
random,1,59,q1_most_frequent,543,-0.010136
random,1,17,q1_most_frequent,369,0.009945
random,1,389,q1_most_frequent,716,-0.010229
random,1,6,q1_most_frequent,60,0.014513
random,1,18,q1_most_frequent,482,0.005781
random,1,324,q1_most_frequent,863,-0.005960
random,1,688,q1_most_frequent,886,0.002180
random,1,10,q1_most_frequent,843,-0.012772
random,1,197,q1_most_frequent,1953,-0.019590
random,1,2,q1_most_frequent,0,0.059376
random,1,10,q1_most_frequent,842,-0.012770
random,1,81,q1_most_frequent,1314,0.009554
random,1,21,q1_most_frequent,1504,-0.023993
random,1,8,q1_most_frequent,1,0.046977
random,1,24,q1_most_frequent,1192,-0.007509
random,1,3,q1_most_frequent,312,0.012275
random,1,27,q1_most_frequent,1783,-0.016133
random,1,12,q1_most_frequent,516,-0.004344
random,1,5,q1_most_frequent,313,0.014528
random,1,453,q1_most_frequent,511,-0.008522
random,1,220,q1_most_frequent,631,0.003788
random,1,235,q1_most_frequent,1940,-0.022443
random,1,517,q1_most_frequent,647,-0.005923
random,1,1661,q1_most_frequent,1537,-0.010923
random,1,6,q1_most_frequent,60,0.014504
random,1,467,q1_most_frequent,415,0.008650
random,1,3,q1_most_frequent,311,0.012272
random,1,1781,q1_most_frequent,430,0.009336
random,1,275,q1_most_frequent,1231,-0.032580
random,1,1645,q1_most_frequent,1741,-0.010708
random,1,75,q1_most_frequent,1003,0.004334
random,1,4,q1_most_frequent,802,-0.003086
random,1,358,q1_most_frequent,1265,0.010574
random,1,1920,q1_most_frequent,915,-0.002138
random,1,2,q1_most_frequent,0,0.059376
random,1,13,q1_most_frequent,999,-0.011185
random,1,159,q1_most_frequent,195,0.008089
random,1,208,q1_most_frequent,1577,-0.016712
random,1,280,q1_most_frequent,1831,-0.017458
random,1,134,q1_most_frequent,533,-0.016558
random,1,1923,q1_most_frequent,1798,-0.009592
random,1,226,q1_most_frequent,1825,-0.002534
random,1,7,q1_most_frequent,492,0.000598
random,1,134,q1_most_frequent,533,-0.016558
random,1,412,q1_most_frequent,1122,-0.018508
random,1,530,q1_most_frequent,1498,-0.013713
random,1,4,q1_most_frequent,802,-0.003082
random,1,346,q1_most_frequent,1531,0.002040
random,1,84,q1_most_frequent,1971,-0.019271
random,1,351,q1_most_frequent,246,0.016525
random,1,8,q1_most_frequent,1,0.046970
random,1,8,q1_most_frequent,1,0.046980
random,1,3,q1_most_frequent,311,0.012270
random,1,7,q1_most_frequent,492,0.000597
random,1,341,q1_most_frequent,1428,-0.004889
random,1,162,q1_most_frequent,205,0.012565
random,1,56,q1_most_frequent,1758,-0.015806
random,1,4,q1_most_frequent,802,-0.003085
random,1,321,q1_most_frequent,129,0.015099
random,1,2,q1_most_frequent,0,0.059387
random,1,741,q1_most_frequent,1178,-0.018396
random,1,12,q1_most_frequent,516,-0.004342
random,1,171,q1_most_frequent,1782,-0.005521
random,1,171,q1_most_frequent,1782,-0.005522
random,1,171,q1_most_frequent,1782,-0.005519
random,1,552,q1_most_frequent,1143,-0.011390
random,1,2,q1_most_frequent,0,0.059374
random,1,52,q1_most_frequent,627,-0.004852
random,1,101,q1_most_frequent,1853,-0.011318
random,1,411,q1_most_frequent,1412,-0.023861
random,1,910,q1_most_frequent,865,-0.015161
random,1,5,q1_most_frequent,313,0.014534
random,1,18,q1_most_frequent,482,0.005777
random,1,2,q1_most_frequent,0,0.059353
random,1,9,q1_most_frequent,1897,-0.026109
random,1,87,q1_most_frequent,16,0.020461
random,1,1007,q1_most_frequent,1152,-0.005699
random,1,2,q1_most_frequent,0,0.059374
random,1,3,q1_most_frequent,312,0.012276
random,1,4,q1_most_frequent,802,-0.003084
random,1,1199,q1_most_frequent,1922,-0.018036
random,1,2,q1_most_frequent,0,0.059358
random,1,898,q1_most_frequent,520,-0.025473
random,1,189,q1_most_frequent,382,0.002829
random,1,11,q1_most_frequent,272,0.009351
random,1,16,q1_most_frequent,1738,-0.032453
random,1,188,q1_most_frequent,473,0.006174
random,1,341,q1_most_frequent,1428,-0.004891
random,1,1624,q1_most_frequent,1045,-0.001430
random,1,933,q1_most_frequent,176,0.001183
random,1,276,q1_most_frequent,1849,-0.024446
random,1,1306,q1_most_frequent,1787,-0.008441
random,1,5,q1_most_frequent,313,0.014540
random,1,6,q1_most_frequent,60,0.014513
random,1,5,q1_most_frequent,313,0.014535
random,1,2,q1_most_frequent,0,0.059346
random,1,4,q1_most_frequent,802,-0.003086
random,1,36,q1_most_frequent,1882,-0.018855
random,1,20,q1_most_frequent,1815,-0.017768
random,1,292,q1_most_frequent,677,0.002998
random,1,108,q1_most_frequent,1067,-0.014500
random,1,761,q1_most_frequent,899,0.011018
random,1,262,q1_most_frequent,80,0.008271
random,1,18,q1_most_frequent,482,0.005777
random,1,1032,q1_most_frequent,1573,0.001846
random,1,9,q1_most_frequent,1897,-0.026105
random,1,2,q1_most_frequent,0,0.059364
random,1,435,q1_most_frequent,1930,-0.019781
random,1,9,q1_most_frequent,1897,-0.026111
random,1,19,q1_most_frequent,1359,-0.020973
random,1,896,q1_most_frequent,1391,-0.014233
random,1,255,q1_most_frequent,1520,-0.019540
random,1,22,q1_most_frequent,1598,-0.012444
random,1,1638,q1_most_frequent,445,0.003581
random,1,3,q1_most_frequent,312,0.012276
random,1,4,q1_most_frequent,802,-0.003086
random,1,1191,q1_most_frequent,1056,-0.019818
random,1,3,q1_most_frequent,311,0.012272
random,1,7,q1_most_frequent,492,0.000598
random,1,878,q1_most_frequent,871,0.000172
random,1,2,q1_most_frequent,0,0.059352
random,1,975,q1_most_frequent,966,-0.004693
random,1,15,q1_most_frequent,327,0.001537
random,1,127,q1_most_frequent,630,-0.005850
random,1,50,q1_most_frequent,1574,-0.030904
random,1,3,q1_most_frequent,312,0.012274
random,1,7,q1_most_frequent,492,0.000596
random,1,38,q1_most_frequent,29,0.023711
random,1,3,q1_most_frequent,311,0.012273
random,1,1102,q1_most_frequent,666,-0.008779
random,1,8,q1_most_frequent,1,0.046978
random,1,1311,q1_most_frequent,1837,-0.026908
random,1,36,q1_most_frequent,1882,-0.018846
random,1,120,q1_most_frequent,827,-0.005978
random,1,669,q1_most_frequent,1682,-0.010715
random,1,4,q1_most_frequent,802,-0.003083
random,1,20,q1_most_frequent,1815,-0.017766
random,1,73,q1_most_frequent,903,-0.011233
random,1,218,q1_most_frequent,557,-0.011687
random,1,402,q1_most_frequent,824,0.017225
random,1,15,q1_most_frequent,327,0.001537
random,1,242,q1_most_frequent,572,-0.002728
random,1,40,q1_most_frequent,2017,-0.028076
random,1,63,q1_most_frequent,529,0.005146
random,1,851,q1_most_frequent,859,0.002780
random,1,5,q1_most_frequent,313,0.014531
random,1,4,q1_most_frequent,802,-0.003086
random,1,52,q1_most_frequent,628,-0.004857
random,1,52,q1_most_frequent,628,-0.004862
random,1,216,q1_most_frequent,2045,-0.050343
random,1,149,q1_most_frequent,694,-0.001875
random,1,47,q1_most_frequent,702,0.010378
random,1,5,q1_most_frequent,313,0.014535
random,1,288,q1_most_frequent,1306,-0.015336
random,1,3,q1_most_frequent,312,0.012275
random,1,573,q1_most_frequent,1205,-0.048071
random,1,81,q1_most_frequent,1314,0.009553
random,1,538,q1_most_frequent,96,0.026954
random,1,735,q1_most_frequent,1773,-0.016641
random,1,278,q1_most_frequent,1704,-0.013329
random,1,342,q1_most_frequent,1793,-0.010990
random,1,423,q1_most_frequent,801,-0.012343
random,1,38,q1_most_frequent,29,0.023710
random,1,1436,q1_most_frequent,1259,-0.008662
random,1,3,q1_most_frequent,311,0.012272
random,1,5,q1_most_frequent,313,0.014534
random,1,6,q1_most_frequent,60,0.014497
random,1,215,q1_most_frequent,895,-0.003279
random,1,719,q1_most_frequent,873,-0.003749
random,1,54,q1_most_frequent,1551,-0.012695
random,1,363,q1_most_frequent,186,0.006954
random,1,6,q1_most_frequent,60,0.014505
random,1,10,q1_most_frequent,842,-0.012768
random,1,6,q1_most_frequent,60,0.014520
random,1,594,q1_most_frequent,245,0.014952
random,1,590,q1_most_frequent,1461,-0.026932
random,1,1509,q1_most_frequent,587,0.001300
random,1,3,q1_most_frequent,311,0.012271
random,1,6,q1_most_frequent,60,0.014504
random,1,447,q1_most_frequent,942,0.003764
random,1,842,q1_most_frequent,1965,-0.036613
random,1,2,q1_most_frequent,0,0.059372
random,1,643,q1_most_frequent,1062,-0.027831
random,1,29,q1_most_frequent,864,-0.005454
random,1,2,q1_most_frequent,0,0.059393
random,1,2,q1_most_frequent,0,0.059369
random,1,125,q1_most_frequent,649,0.001838
random,1,3,q1_most_frequent,312,0.012274
random,1,17,q1_most_frequent,369,0.009950
random,1,629,q1_most_frequent,2007,-0.046027
random,1,161,q1_most_frequent,138,-0.001136
random,1,8,q1_most_frequent,1,0.046973
random,1,1477,q1_most_frequent,420,-0.000024
random,1,6,q1_most_frequent,60,0.014508
random,1,229,q1_most_frequent,1740,-0.010501
random,1,268,q1_most_frequent,109,0.011154
random,1,9,q1_most_frequent,1897,-0.026107
random,1,148,q1_most_frequent,1862,-0.027347
random,1,567,q1_most_frequent,485,0.011566
random,1,940,q1_most_frequent,229,0.019010
random,1,16,q1_most_frequent,1738,-0.032453
random,1,2,q1_most_frequent,0,0.059351
random,1,439,q1_most_frequent,882,0.000549
random,1,1843,q1_most_frequent,1077,0.003389
random,1,1936,q1_most_frequent,1567,-0.016735
