content_mode,temporal_mode,temporal_beta,top_label,recall_at_4,final_top_weight,final_entropy,iterations,converged,regime
family_blend,noise_only,0.5,ramp,0.0,0.23348777822672098,0.5349536147657628,4,True,flipped
family_blend,noise_only,1,ramp,0.0,0.2593650531703625,0.5322867367004979,7,True,flipped
family_blend,noise_only,2,ramp,0.0,0.44150319798755044,0.4743661994045069,12,False,flipped
family_blend,noise_only,4,step,0.0,0.7615329978062295,0.27340892103656994,10,True,flipped
family_blend,noise_only,8,step,0.0,0.9768138808851592,0.043346712676401646,7,True,flipped
family_blend,noise_only,16,escalator,0.0,0.999899117204761,0.0003452226969793528,4,True,flipped
family_blend,noise_only,32,escalator,0.0,0.9999999904727789,6.191752530527735e-08,3,True,flipped
family_blend,noise_only,64,escalator,0.0,1.0,1.0660372306354229e-15,3,True,flipped
family_blend,noise_only,100,escalator,0.0,1.0,1.49182268541121e-24,3,True,flipped
wrong_ladder,exact_pair,0.5,ladder,0.0,0.3964931414580144,0.5030524822856934,6,True,flipped
wrong_ladder,exact_pair,1,ladder,0.0,0.5005539029964411,0.46205604485348317,10,True,flipped
wrong_ladder,exact_pair,2,ladder,0.0,0.7408911019582307,0.3101040052540497,9,True,flipped
wrong_ladder,exact_pair,4,stair,1.0,0.8943714779988088,0.15840028185180458,5,True,committed
wrong_ladder,exact_pair,8,stair,1.0,0.9978753418035854,0.0059917936429028365,3,True,committed
wrong_ladder,exact_pair,16,stair,1.0,0.9999991907827437,4.402622222690652e-06,2,True,committed
wrong_ladder,exact_pair,32,stair,1.0,0.9999999999998819,1.2614941601734595e-12,2,True,committed
wrong_ladder,exact_pair,64,stair,1.0,1.0,5.440119411892768e-26,2,True,committed
wrong_ladder,exact_pair,100,stair,1.0,1.0,3.884958471449952e-41,2,True,committed
wrong_ladder,single_neighbor,0.5,ladder,0.0,0.39891965937245055,0.5022195055536143,6,True,flipped
wrong_ladder,single_neighbor,1,ladder,0.0,0.5096644070588063,0.4577186055155286,10,True,flipped
wrong_ladder,single_neighbor,2,ladder,0.0,0.7476164579114024,0.3045445369903324,8,True,flipped
wrong_ladder,single_neighbor,4,stair,1.0,0.8940111390016959,0.15882942395030966,6,True,committed
wrong_ladder,single_neighbor,8,stair,1.0,0.9978628317411494,0.006023695663672925,3,True,committed
wrong_ladder,single_neighbor,16,stair,1.0,0.9999991829990615,4.44303247940656e-06,3,True,committed
wrong_ladder,single_neighbor,32,stair,1.0,0.999999999999879,1.2905940733627398e-12,2,True,committed
wrong_ladder,single_neighbor,64,stair,1.0,1.0,5.706873997526064e-26,2,True,committed
wrong_ladder,single_neighbor,100,stair,1.0,1.0,4.1767080364660014e-41,2,True,committed
wrong_ladder,neighbor_plus_noise,0.5,ladder,0.0,0.4013052337344706,0.5014198741264002,6,True,flipped
wrong_ladder,neighbor_plus_noise,1,ladder,0.0,0.5157849273700179,0.45478217798379855,9,True,flipped
wrong_ladder,neighbor_plus_noise,2,ladder,0.0,0.7530360442407014,0.300131868084497,8,True,flipped
wrong_ladder,neighbor_plus_noise,4,stair,1.0,0.8913936390797446,0.16172784155335126,7,True,committed
wrong_ladder,neighbor_plus_noise,8,stair,1.0,0.9977686193263058,0.00625349581124135,4,True,committed
wrong_ladder,neighbor_plus_noise,16,stair,1.0,0.999999104616803,4.838204887470396e-06,3,True,committed
wrong_ladder,neighbor_plus_noise,32,stair,1.0,0.9999999999998523,1.5635272086833472e-12,2,True,committed
wrong_ladder,neighbor_plus_noise,64,stair,1.0,1.0,8.79140402178717e-26,2,True,committed
wrong_ladder,neighbor_plus_noise,100,stair,1.0,1.0,8.638545471140364e-41,2,True,committed
wrong_ladder,wrong_pair,0.5,ladder,0.0,0.41415147232443394,0.4969787014861682,5,True,flipped
wrong_ladder,wrong_pair,1,ladder,0.0,0.5374511461929259,0.44380487587771794,7,True,flipped
wrong_ladder,wrong_pair,2,ladder,0.0,0.7647100058800499,0.2901516647664031,6,True,flipped
