experiment,window,beta,family_noise,ordered_recall,shuffle_recall,shuffle_delta,content_recall,temporal_recall,temporal_advantage,entropy,top_score,regime
content_distractor,1,32,0.35,,,,0.0,1.0,1.0,0.23934511123064692,0.9979861303977766,robust_temporal
content_distractor,1,64,0.35,,,,0.0,1.0,1.0,0.008602320771144922,0.999999400548941,robust_temporal
content_distractor,1,100,0.35,,,,0.0,1.0,1.0,0.00024278694151447236,0.9999999997775186,robust_temporal
content_distractor,1,200,0.35,,,,0.0,1.0,1.0,9.578060960234645e-09,1.0,robust_temporal
content_distractor,2,1,0.35,,,,0.0,0.0,0.0,0.9693712651153796,0.9296679423272954,interference
content_distractor,2,2,0.35,,,,0.0,0.0,0.0,0.8604871078665843,0.9535562126912415,interference
content_distractor,2,4,0.35,,,,0.0,0.0,0.0,0.6372647778952422,0.9573003241139997,interference
content_distractor,2,8,0.35,,,,0.0,0.0,0.0,0.5412468178651598,0.9578379637227026,interference
content_distractor,2,16,0.35,,,,0.0,0.0,0.0,0.5363248087861587,0.9591087618962334,interference
content_distractor,2,32,0.35,,,,0.0,1.0,1.0,0.20266099030770598,0.9985844949632654,robust_temporal
content_distractor,2,64,0.35,,,,0.0,1.0,1.0,0.006096328828600237,0.9999996951004902,robust_temporal
content_distractor,2,100,0.35,,,,0.0,1.0,1.0,0.0001392407807490403,0.9999999999255428,robust_temporal
content_distractor,2,200,0.35,,,,0.0,1.0,1.0,3.1754786768376383e-09,1.0,robust_temporal
content_distractor,3,1,0.35,,,,0.0,0.0,0.0,0.9701996830076718,0.9341911863648995,interference
content_distractor,3,2,0.35,,,,0.0,0.0,0.0,0.8647470564705987,0.9540040261597457,interference
content_distractor,3,4,0.35,,,,0.0,0.0,0.0,0.6421019374890394,0.9566352425217564,interference
content_distractor,3,8,0.35,,,,0.0,0.0,0.0,0.5418260127999153,0.9568492727458974,interference
content_distractor,3,16,0.35,,,,0.0,0.0,0.0,0.536922689198125,0.957769940103145,interference
content_distractor,3,32,0.35,,,,0.0,1.0,1.0,0.2628550386800442,0.9974027737992873,robust_temporal
content_distractor,3,64,0.35,,,,0.0,1.0,1.0,0.009255166845494493,0.9999993086310038,robust_temporal
content_distractor,3,100,0.35,,,,0.0,1.0,1.0,0.000259881625466641,0.9999999997507067,robust_temporal
content_distractor,3,200,0.35,,,,0.0,1.0,1.0,9.46504919474328e-09,1.0,robust_temporal
content_distractor,4,1,0.35,,,,0.16666666666666666,0.16666666666666666,0.0,0.970234512854842,0.9272013140515145,interference
content_distractor,4,2,0.35,,,,0.16666666666666666,0.0,-0.16666666666666666,0.8639570273651495,0.9492360583419416,interference
content_distractor,4,4,0.35,,,,0.16666666666666666,0.0,-0.16666666666666666,0.6410528946210267,0.9530841268459782,interference
content_distractor,4,8,0.35,,,,0.16666666666666666,0.0,-0.16666666666666666,0.5415962544447867,0.9536041518704313,interference
content_distractor,4,16,0.35,,,,0.16666666666666666,0.0,-0.16666666666666666,0.5361279432302263,0.9549786823533868,interference
content_distractor,4,32,0.35,,,,0.16666666666666666,1.0,0.8333333333333334,0.14578674044441828,0.9993868577940697,robust_temporal
content_distractor,4,64,0.35,,,,0.16666666666666666,1.0,0.8333333333333334,0.00350925866462631,0.9999999094731635,robust_temporal
content_distractor,4,100,0.35,,,,0.16666666666666666,1.0,0.8333333333333334,5.3792974596007774e-05,0.9999999999904516,robust_temporal
content_distractor,4,200,0.35,,,,0.16666666666666666,1.0,0.8333333333333334,3.345740730877346e-10,1.0,robust_temporal
content_distractor,1,1,0.6,,,,0.0,0.0,0.0,0.9771556343520702,0.8392282706211701,interference
content_distractor,1,2,0.6,,,,0.0,0.5,0.5,0.8848442158084884,0.8701558400323832,blend
content_distractor,1,4,0.6,,,,0.0,1.0,1.0,0.6645226435937013,0.8736296137118812,robust_temporal
content_distractor,1,8,0.6,,,,0.0,1.0,1.0,0.5403072848404402,0.8888878921062237,robust_temporal
content_distractor,1,16,0.6,,,,0.0,1.0,1.0,0.0708656512325312,0.9998416781377941,robust_temporal
content_distractor,1,32,0.6,,,,0.0,1.0,1.0,0.0010728769463887317,0.999999989617005,robust_temporal
content_distractor,1,64,0.6,,,,0.0,1.0,1.0,1.7761674883931005e-07,1.0,robust_temporal
content_distractor,1,100,0.6,,,,0.0,1.0,1.0,7.980989621867586e-12,1.0,robust_temporal
content_distractor,1,200,0.6,,,,0.0,1.0,1.0,4.6404647474876586e-24,1.0,robust_temporal
content_distractor,2,1,0.6,,,,0.0,0.0,0.0,0.9782504894779009,0.8373491347756102,interference
content_distractor,2,2,0.6,,,,0.0,0.0,0.0,0.889244284812365,0.8780961965880155,interference
content_distractor,2,4,0.6,,,,0.0,0.0,0.0,0.6702506784961155,0.887730604953655,interference
content_distractor,2,8,0.6,,,,0.0,0.0,0.0,0.5411829733975542,0.8952849323750274,interference
content_distractor,2,16,0.6,,,,0.0,1.0,1.0,0.08403082019750667,0.9997463843676274,robust_temporal
